entrezA	entrezB	MIPPIE_score
19013	14463	0.4436502110608205
20849	18030	0.5317553863432598
15902	18030	0.5317553863432598
12361	76787	0.5317553863432598
14804	18189	0.7431700716274434
224997	18189	0.7529407830188879
14800	244723	0.3507458930771186
81879	212712	0.7529407830188879
13717	16949	0.6681281747544451
13436	13435	0.935339277705863
13435	13435	0.47942033677273754
18424	70350	0.5317553863432598
58234	70350	0.8427572850047658
12804	244218	0.7285009696669187
17096	21934	0.7529407830188879
72269	72269	0.8190157950314054
17342	18508	0.5952702815819886
17536	18508	0.5317553863432598
17132	18508	0.5317553863432598
15516	11622	0.7529407830188879
17132	11622	0.8164556782576167
18018	16189	0.8028840503613737
17132	16189	0.5317553863432598
20191	18810	0.5317553863432598
20849	18810	0.5317553863432598
20648	18810	0.5317553863432598
13405	18810	0.5317553863432598
66725	18810	0.5952702815819886
13346	18810	0.5317553863432598
109620	18810	0.5317553863432598
14254	30955	0.5317553863432598
11820	14281	0.5952702815819886
12023	14281	0.5317553863432598
14812	16971	0.3507458930771186
14811	16971	0.41426078831584734
13131	16971	0.8066849668661721
16202	16971	0.5317553863432598
14799	16971	0.3507458930771186
18033	21939	0.4159054415340088
12229	21939	0.8406468695573823
12977	26406	0.4436502110608205
18412	26406	0.9065087856941872
15900	12443	0.3507458930771186
18667	12443	0.4159054415340088
16367	12443	0.5317553863432598
19645	12443	0.7920158649056475
12575	12443	0.9633668162050754
12575	12444	0.8164556782576167
20525	20525	0.41426078831584734
27494	19249	0.27727029435600586
19249	19249	0.5317553863432598
19249	30794	0.41426078831584734
229905	229905	0.41426078831584734
20430	18479	0.7529407830188879
15165	18479	0.7529407830188879
21812	18479	0.5952702815819886
11674	16423	0.5317553863432598
18479	16423	0.5317553863432598
65246	19354	0.5317553863432598
18479	19354	0.8066849668661721
55983	18198	0.41426078831584734
18479	18198	0.7285009696669187
18198	18198	0.5955916407514616
170744	54445	0.5952702815819886
170743	54445	0.8406468695573823
16362	142980	0.47942033677273754
54445	142980	0.9041617647961112
142980	142980	0.5952702815819886
30955	104709	0.8427572850047658
30955	320207	0.9062721802434944
104709	320207	0.5317553863432598
18424	27140	0.5317553863432598
21804	27140	0.5317553863432598
19696	27140	0.5317553863432598
18088	27140	0.5317553863432598
18516	27140	0.3507458930771186
22330	18754	0.5317553863432598
14812	18754	0.7529407830188879
20430	18754	0.7529407830188879
11461	18754	0.7529407830188879
58234	18754	0.8427572850047658
20779	18754	0.9054478066276525
13346	18754	0.5317553863432598
22027	94217	0.5317553863432598
16414	94217	0.7285009696669187
13436	14536	0.5317553863432598
13435	14536	0.5317553863432598
11461	18643	0.8066849668661721
15511	18643	0.5317553863432598
22154	18643	0.5317553863432598
20191	108058	0.9041617647961112
12288	108058	0.5317553863432598
665113	108058	0.7529407830188879
20648	108058	0.5317553863432598
13405	108058	0.5317553863432598
11461	108058	0.5317553863432598
58234	108058	0.8427572850047658
224997	108058	0.8427572850047658
22142	108058	0.5317553863432598
22154	108058	0.5317553863432598
545156	108058	0.7529407830188879
15364	21869	0.4436502110608205
21869	30051	0.5317553863432598
21869	18510	0.5952702815819886
17536	15405	0.5952702815819886
18516	15405	0.5952702815819886
18508	15405	0.5317553863432598
21869	15405	0.5317553863432598
19016	17977	0.41426078831584734
18412	17977	0.5634838724099904
67731	12842	0.5317553863432598
16531	12842	0.8427572850047658
21803	12842	0.7285009696669187
17127	12842	0.8028840503613737
12842	12842	0.41426078831584734
14800	74053	0.8783893093242687
74018	74053	0.8255016137361062
20849	22070	0.5317553863432598
15364	22070	0.4436502110608205
16531	22070	0.8427572850047658
11461	22070	0.4436502110608205
17975	22070	0.8919520574761894
20849	12053	0.5317553863432598
15900	12053	0.9041617647961112
12977	12053	0.5317553863432598
14633	12053	0.4159054415340088
14632	12053	0.4159054415340088
12053	12053	0.5952702815819886
18128	18128	0.5952702815819886
15364	19664	0.4436502110608205
12902	19664	0.5952702815819886
21934	19664	0.27727029435600586
18131	19664	0.7920158649056475
18128	19664	0.9904947835966976
665113	219158	0.7529407830188879
21413	18013	0.3507458930771186
15900	13030	0.5317553863432598
13033	13030	0.47942033677273754
14804	20965	0.5317553863432598
12703	216233	0.6222702117077465
14600	216233	0.41426078831584734
14255	216233	0.5952702815819886
216233	216233	0.5952702815819886
15900	114606	0.5317553863432598
27140	114606	0.5317553863432598
16362	58185	0.4159054415340088
65246	18718	0.5317553863432598
18718	18718	0.5317553863432598
665113	12286	0.7529407830188879
12298	12286	0.7920158649056475
12298	12287	0.7285009696669187
12361	12287	0.41426078831584734
83560	71819	0.5317553863432598
15900	13010	0.7529407830188879
11820	13010	0.5317553863432598
20375	13010	0.5317553863432598
14812	11464	0.5317553863432598
226049	11464	0.5317553863432598
12229	11464	0.5317553863432598
52609	13207	0.5317553863432598
65246	13207	0.5317553863432598
18424	13207	0.5317553863432598
12229	13207	0.5317553863432598
17127	13207	0.7920158649056475
56312	13207	0.8732700567972629
17127	12825	0.7285009696669187
12825	12825	0.41426078831584734
665113	50791	0.7529407830188879
17127	50791	0.5952702815819886
17127	17395	0.27727029435600586
17127	16859	0.4159054415340088
12505	16859	0.7285009696669187
16859	16859	0.573254583801435
20849	16184	0.5952702815819886
17127	16184	0.6854347403601881
17127	29820	0.4159054415340088
14799	11539	0.3507458930771186
17127	11539	0.4159054415340088
20849	65112	0.5317553863432598
17127	65112	0.4159054415340088
15364	59079	0.4436502110608205
224997	59079	0.8427572850047658
17127	59079	0.5071651062995493
17127	17684	0.41426078831584734
17127	66214	0.41426078831584734
17127	12832	0.3507458930771186
224997	16497	0.8427572850047658
93686	93686	0.5952702815819886
65246	23876	0.5317553863432598
16949	23876	0.5952702815819886
16997	23876	0.5952702815819886
67844	338370	0.5317553863432598
329178	338370	0.7285009696669187
11820	13602	0.5317553863432598
16331	217303	0.7285009696669187
234779	58194	0.5317553863432598
665113	58194	0.7529407830188879
13132	58194	0.5952702815819886
16331	58194	0.5952702815819886
224997	58194	0.8427572850047658
17060	58194	0.5952702815819886
15165	58194	0.7529407830188879
234779	16822	0.41426078831584734
16797	16822	0.8164556782576167
16331	16822	0.5317553863432598
210757	16822	0.5317553863432598
20849	27218	0.5317553863432598
94212	27218	0.5317553863432598
16331	27218	0.9407754024862224
16331	380732	0.3507458930771186
72433	30054	0.5317553863432598
30054	30054	0.7285009696669187
15900	27405	0.5317553863432598
18643	27405	0.467814980072192
14745	105844	0.7529407830188879
15234	15234	0.6367694790401637
15364	12394	0.4436502110608205
